,learning_rate,momentum,test_accuracy
495,0.5,0.6,0.4551
496,0.5,0.7,0.4578
497,0.5,0.8,0.4491
498,0.5,0.9,0.4476
499,0.5,1.0,0.2825
500,0.51,0.1,0.7501
501,0.51,0.2,0.6583
502,0.51,0.3,0.6577
503,0.51,0.4,0.4706
504,0.51,0.5,0.4593
505,0.51,0.6,0.4599
506,0.51,0.7,0.4557
507,0.51,0.8,0.4517
508,0.51,0.9,0.441
509,0.51,1.0,0.259
510,0.52,0.1,0.7503
511,0.52,0.2,0.7435
512,0.52,0.3,0.6513
513,0.52,0.4,0.5476
514,0.52,0.5,0.4568
515,0.52,0.6,0.4573
516,0.52,0.7,0.4583
517,0.52,0.8,0.4473
518,0.52,0.9,0.4477
519,0.52,1.0,0.2971
520,0.53,0.1,0.7462
521,0.53,0.2,0.7471
522,0.53,0.3,0.6561
523,0.53,0.4,0.5454
524,0.53,0.5,0.459
525,0.53,0.6,0.4575
526,0.53,0.7,0.4549
527,0.53,0.8,0.4581
528,0.53,0.9,0.4375
529,0.53,1.0,0.3698
530,0.54,0.1,0.7456
531,0.54,0.2,0.743
532,0.54,0.3,0.549
533,0.54,0.4,0.5681
534,0.54,0.5,0.4568
535,0.54,0.6,0.4594
536,0.54,0.7,0.45
537,0.54,0.8,0.4562
538,0.54,0.9,0.4462
539,0.54,1.0,0.2747
540,0.55,0.1,0.7487
541,0.55,0.2,0.7503
542,0.55,0.3,0.6495
543,0.55,0.4,0.5614
544,0.55,0.5,0.4584
545,0.55,0.6,0.4568
546,0.55,0.7,0.4555
547,0.55,0.8,0.3545
548,0.55,0.9,0.4508
549,0.55,1.0,0.2209
550,0.56,0.1,0.7496
551,0.56,0.2,0.6577
552,0.56,0.3,0.5468
553,0.56,0.4,0.4578
554,0.56,0.5,0.4513
555,0.56,0.6,0.4532
556,0.56,0.7,0.455
557,0.56,0.8,0.4481
558,0.56,0.9,0.4478
559,0.56,1.0,0.2913
560,0.57,0.1,0.7469
561,0.57,0.2,0.6572
562,0.57,0.3,0.6599
563,0.57,0.4,0.4577
564,0.57,0.5,0.4549
565,0.57,0.6,0.4543
566,0.57,0.7,0.3669
567,0.57,0.8,0.447
568,0.57,0.9,0.3636
569,0.57,1.0,0.3812
570,0.58,0.1,0.7467
571,0.58,0.2,0.6545
572,0.58,0.3,0.6495
573,0.58,0.4,0.4576
574,0.58,0.5,0.4386
575,0.58,0.6,0.4497
576,0.58,0.7,0.3685
